dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
0,0
12,5704,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7078,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,7310,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,7493,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,7767,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8352,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,9601,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,10643,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,10699,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,11173,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,11176,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,11247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,11629,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12675,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,14137,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,14289,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,15313,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,15966,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,16394,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,18486,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,18577,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,20115,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,20247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,20424,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,20631,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,22764,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,23341,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,23439,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,27293,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,29198,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,30336,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,30982,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,31546,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,32032,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,32795,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,33714,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,33758,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,34572,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,35083,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,36122,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,36729,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,37202,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,37355,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,38039,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,38881,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,39016,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,40075,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,40213,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,40217,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,41092,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,42023,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,42071,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,42178,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,42603,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,44658,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,44952,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,45757,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,46100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,46375,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,47420,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,47767,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,50663,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,50670,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,51212,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,51872,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,54303,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,54660,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,56465,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,59090,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,59987,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,60126,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,61244,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,61630,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,62882,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,63060,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,63131,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,63672,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,63696,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,63789,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,63816,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,64110,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,65500,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,66327,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,66705,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,67594,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,67673,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,68236,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,68398,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,69082,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,69868,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,69896,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,69982,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,70066,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,70502,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,71251,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,71999,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,73803,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,75011,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,75050,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,75072,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,75552,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
