dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
,2750,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2835,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3784,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,4782,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,5861,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,8665,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,9031,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,9863,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,11071,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,13050,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,13066,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,13376,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,13599,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,15758,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,15995,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,16891,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,19792,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,20056,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,21092,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,22093,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,22558,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,22893,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,24177,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,24230,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,24672,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,25027,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,25539,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,25677,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,26452,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,26529,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,26762,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,27091,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,28601,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,29588,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,29732,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,31123,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,31246,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,32099,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,32419,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,32717,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,34147,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,35363,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,35501,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,35982,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,36016,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
