dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
12,359,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,824,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1521,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,4233,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,6696,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
10,7604,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7678,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
5,7720,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,8323,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,10068,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
12,10260,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10790,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,12436,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,12491,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,13236,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,13639,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
14,13658,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,13679,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,15073,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,15088,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,15170,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,16058,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,16279,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17596,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17638,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,20107,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,20244,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,20379,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,20550,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,20650,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,21004,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,21285,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,21451,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,22242,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
7,23134,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,23703,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,23959,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,24452,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,25156,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
8,25583,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,25824,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,25948,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,26017,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,27257,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,27440,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,27484,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,28423,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,28569,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,29086,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,29223,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,30612,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,30651,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
9,31076,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,32353,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,33212,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,34609,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,34621,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,35002,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,35613,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,35914,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,36471,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,37395,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,37562,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,37662,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,37738,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,38950,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,39086,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,39397,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,40762,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,41080,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,41203,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,41409,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,41665,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,42562,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,43200,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,44843,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,44986,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,45546,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,45647,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,45759,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,45985,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,47231,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,48581,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,48719,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,49568,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,49572,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,49902,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,50263,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,50747,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,50907,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,51107,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,51670,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
9,52242,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,52783,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,52891,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,54570,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,54718,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,55825,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,56269,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
