dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
13,144,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,220,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,418,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,995,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2472,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3300,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
9,3451,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,3955,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4455,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,5411,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,6109,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6194,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,6370,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6403,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10177,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,10215,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,10636,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,10679,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,11003,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,11631,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,11713,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,12501,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
7,12605,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,13008,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,14189,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,15485,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,15610,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,18128,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,18240,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,18868,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,19463,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,19977,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,20401,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,20674,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,21171,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,22974,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,23103,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,23621,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,23729,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,25526,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,26239,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,27530,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,29299,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,29325,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,29446,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,30670,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,31152,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,31186,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,31825,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,32692,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,32710,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,32716,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,33040,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,33709,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,33872,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,34863,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,35387,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
2,35737,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,35784,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,37908,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,38010,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,38272,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,39140,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,39711,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
3,40198,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
5,40858,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,41091,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
12,41736,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,41743,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41880,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,42391,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,42611,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,43300,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
0,43383,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,43864,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,43948,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,44099,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,46241,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,46689,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
3,47247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,47324,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,47640,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
8,47846,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,48088,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,49069,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
0,49228,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
5,49590,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
8,50342,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,51191,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,51265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,51597,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,51781,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,51847,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,52100,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,52455,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,52510,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,52707,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,53204,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,53326,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,53399,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
3,55518,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,56635,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,56776,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
14,57302,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,57334,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,57483,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,58372,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,59480,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,59567,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,60169,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,61197,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,61262,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,61439,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,61440,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
15,61442,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,61870,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,62469,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,64189,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,66184,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,66321,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,67196,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,71157,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,71474,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
5,71785,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,72250,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,72599,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,73136,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,73708,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,74473,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,75114,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,75529,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,76853,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
12,78702,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,80188,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,80219,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,80484,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,81630,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,81645,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,82517,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,83928,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,84203,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
5,84866,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,85899,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,86079,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,87011,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,87157,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,87787,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,88613,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,89439,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
