dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
4,435,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,908,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,1375,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1651,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3799,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,4751,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,5597,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,6329,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,6934,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,7770,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8461,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,9241,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
15,11600,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
10,11769,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,12095,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,12574,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,13271,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,13719,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,13820,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,13827,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,13964,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,14671,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,14807,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,14855,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,15679,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,16092,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,16264,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,16681,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17149,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,18542,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,18961,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,19773,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
