dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
,0,0
15,4805,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,7061,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,7082,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,7738,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,9248,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,9301,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10401,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,11005,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,11345,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,11379,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,11405,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,12114,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,12340,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,13074,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,16689,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,17192,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,18856,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,19932,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,20094,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,20112,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,20294,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,20407,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,20413,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,20732,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
