dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
0
5,1828,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,1848,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2056,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3943,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,4585,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,4913,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,5244,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,5820,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,5822,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6868,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,7892,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,8373,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,10498,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,12065,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12141,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,12377,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,12725,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,13446,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,15688,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,16555,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,16905,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,17722,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,17905,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,19203,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,20095,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,20710,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,21370,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,28381,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,29782,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,31178,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,31783,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,32521,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,32954,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,34829,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,34942,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,35897,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,36145,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,36682,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,37668,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,38081,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,39365,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,40493,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,41389,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,42107,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,44194,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,44397,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,45035,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,45242,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,46110,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,47336,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,47686,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,48438,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,50020,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,50231,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,53891,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,54266,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,55041,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,55271,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,55531,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,55709,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,56087,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,56670,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,56865,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,57196,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,58265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
