dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
5,470,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
12,873,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1034,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1286,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2342,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,3093,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,3832,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,6676,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,7407,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
7,8217,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9474,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,10045,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,10521,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,10554,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10911,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,10925,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,11217,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,11886,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12588,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,12866,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
3,13365,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,13467,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,14543,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,14970,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,15000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,15579,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,15681,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,16909,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,17892,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,18354,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,21146,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,22178,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,22909,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,22912,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,23553,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,23600,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,23620,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,25699,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,26024,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,26518,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26771,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,27119,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,28277,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,28957,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
9,29115,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
15,29270,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,29860,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,30826,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,31406,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,32306,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,32443,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,34030,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,34396,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,34591,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,34710,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,35094,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,35854,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,36356,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,36935,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,38613,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,38687,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,40220,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,42279,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,42829,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,43778,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,44769,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,45982,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,46283,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,47111,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,48266,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,48406,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,48512,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,49052,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,50366,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,51549,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,51836,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,52060,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,52179,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,53105,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
2,54331,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,54437,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,54473,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
15,54838,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
