dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
7,419,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,573,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,754,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1357,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,1517,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1746,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2328,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,2782,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2783,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,3848,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4075,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,4245,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5096,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,5175,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,5648,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,5657,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,6102,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
12,6349,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,6380,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,8176,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,8701,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,9230,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,9521,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9960,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9990,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,11817,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,12405,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,12464,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,13311,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,14873,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15603,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,16074,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,16716,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,16798,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,16900,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,17984,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
