dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
1,206,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,218,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,258,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1614,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4511,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,5384,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,5495,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,5972,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
12,6199,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,6963,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,7074,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,7732,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,7798,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,8366,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,11423,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,12145,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,13800,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,14421,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,14675,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14914,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,15045,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,15582,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,16055,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,16229,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
14,16255,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,16580,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,17060,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,17462,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,18571,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,19432,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,19622,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,22106,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,25343,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
0,27030,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,27047,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
8,27049,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,27387,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,27845,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,28267,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,28527,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,29066,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
2,29596,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
8,30214,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,30727,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,30992,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,31057,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,31161,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,31384,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,31447,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,32312,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,32926,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,33028,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,33078,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,36089,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,37028,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,37063,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,37195,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,37213,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,37627,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,37917,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,38557,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
7,39068,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,39214,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39510,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,40035,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
0,40192,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,40378,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,41087,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,41094,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,41304,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,41962,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,43223,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,43671,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
8,43993,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,44054,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
2,44436,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,46020,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
8,46094,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,47754,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,49363,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,49468,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,50832,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,51361,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,51804,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,52348,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,52565,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,52819,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,53997,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,56922,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,58268,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,58297,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,58544,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,62259,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,62732,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,63277,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,65402,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,65794,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,66268,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,66460,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,66584,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,66902,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,67275,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,67656,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,68050,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,68653,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,69612,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,70412,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,70621,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,71225,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,71348,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,72094,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,72528,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,72762,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,73815,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,75846,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
0,76193,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,77499,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,78341,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,78609,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,79411,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,79555,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,79883,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
9,80319,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,82834,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,83500,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,84330,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,84769,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,84899,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
14,85279,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,85341,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,86462,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,87069,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
10,87327,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,88432,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,89462,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,90870,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,91305,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,92164,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,92645,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,92665,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,93216,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,94716,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,94899,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,95254,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,95814,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
