dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
0
2,5095,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,5358,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5936,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,6188,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,6534,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6817,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,11821,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,12669,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,12706,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,12750,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12942,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,13080,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,13377,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,13418,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,15075,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,16705,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,17028,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,19814,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,25418,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,25736,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,26720,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,28397,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,28515,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,28975,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,31873,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,33283,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,34287,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,35865,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,36608,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,36931,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,37363,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,38187,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,39017,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,39405,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,39585,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,40492,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,43067,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,43456,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,43575,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,43631,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,44078,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,44230,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,44349,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,44824,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,45370,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,45824,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,46002,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,46091,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,47974,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,48648,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,48669,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,48792,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,52172,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,52867,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,52919,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,53597,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,55168,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,55191,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,56044,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,58639,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,58756,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,59066,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,59592,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,59837,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,61114,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,61266,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,62098,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,62123,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,62604,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,62847,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,64085,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,64779,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,64921,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,65051,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,65099,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,66444,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,66550,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,67503,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,67986,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,68418,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,68653,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,69053,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,69675,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,69699,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,70389,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,72680,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,72784,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,72982,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,73533,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,73538,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,73587,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,74239,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,74370,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,75476,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,75561,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,75888,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,78264,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
