dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank,the_straw
12,2450,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4630,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,6643,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,6719,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,7064,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7288,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,7604,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,8427,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,9417,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,11123,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
6,12528,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,12852,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12959,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,13280,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,13305,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,13323,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,13450,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,14851,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14873,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,15090,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,16528,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,16967,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,17546,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,17623,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,18462,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,18489,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,19669,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,19723,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
14,20232,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,21579,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,22137,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,22321,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,23195,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,23278,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,24506,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,24845,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,25141,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,26237,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,27185,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,27245,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,27767,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,27842,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,29568,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,29752,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,30596,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,30973,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,31623,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,32646,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,33021,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,33080,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,33965,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
1,34081,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,36801,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,37387,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,37684,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
3,37888,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,37945,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,38546,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,39487,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,39641,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,39749,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39911,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,39929,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,40032,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40188,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,40327,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
4,40440,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41071,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,41835,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,42371,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
7,42835,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
10,43263,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,43663,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
10,45265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,46191,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
5,46213,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,46796,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,46865,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,47093,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,47325,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
3,47526,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,48063,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
14,48233,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,49877,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
11,50132,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,50143,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,50429,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,50502,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
15,50690,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,51040,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,51366,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,51610,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,52207,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12,52888,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
12,53384,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,53709,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,54486,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,56456,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,56796,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,57267,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
13,57416,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,58030,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,58249,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,59040,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,59446,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,59851,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,59908,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,60314,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,61009,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
