dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
0,0
1,2970,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3666,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,4978,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,7629,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7779,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10546,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10794,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11772,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,12490,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,12733,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,12751,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,16913,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,17358,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,17438,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,17536,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,18202,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,18627,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,18940,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,19050,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,19313,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,20908,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,21414,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,23349,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,24359,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,24506,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,24738,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,25675,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,25693,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,26671,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,26802,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,26816,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,26891,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,27105,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,27128,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,28077,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,28244,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,28304,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,28511,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,28600,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,28659,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,28679,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,29029,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,29640,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,29719,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,30307,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,31881,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,33223,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,33761,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,34394,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,35643,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,35742,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,36499,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,37329,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,39122,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,39560,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,39808,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,40089,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,40137,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,40283,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,41744,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,42670,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,42740,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,43179,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,43596,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,43876,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,44428,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,46004,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,46176,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,46354,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,46483,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,47208,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,48880,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,49473,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,50412,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,50776,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,51001,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,51177,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,51227,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,51784,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,51861,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,51974,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,52097,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,52287,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,53113,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,53346,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,54233,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,54314,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,54324,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,56665,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,56834,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,57069,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,57606,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,57759,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,57887,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,59626,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,59870,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,60284,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,60286,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,60720,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,61116,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,64335,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,65520,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,66428,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,67748,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,69673,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,70298,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,70903,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,71283,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,71992,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,72032,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,72940,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,73013,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,73599,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,73935,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,75024,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,75965,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,76815,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,78184,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,78953,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,81492,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,84338,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,84383,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,85907,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,85918,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,87250,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,89203,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,89578,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,90588,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,90632,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,90710,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,91746,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,91902,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,93367,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,93437,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,93588,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,93875,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,93963,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,94625,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,96191,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,96266,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,97986,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,98901,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,99203,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,99644,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,102339,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,102631,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,103839,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,103910,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,104141,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,106585,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,106750,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,106830,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,107503,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,107511,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,107667,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,107752,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,107897,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,108137,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,108262,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,108853,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,109475,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,109528,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,110129,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,110541,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,112070,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,113632,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,113920,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,115545,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,116682,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,118203,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,119377,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,119602,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,119785,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,119809,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,120247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,121589,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,122254,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,122826,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,123366,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,125189,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,125338,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,126748,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,127348,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,127562,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,128029,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,128485,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,129416,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,129468,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,129833,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,130715,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,130780,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,131354,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,132709,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,133517,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,133737,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,134660,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,135192,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,136353,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,136688,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,137138,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,137200,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,137726,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,138245,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,138625,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,138729,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,139120,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,140255,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,140563,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
