dram_module,sim_num,sim_stat,trans_1bit,trans_1word,trans_1col,trans_1row,trans_1bank,trans_nbank,trans_nrank,perm_1bit,perm_1word,perm_1col,perm_1row,perm_1bank,perm_nbank,perm_nrank
0,0
4,3832,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,6676,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,8217,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,9474,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,10045,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,10521,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,10554,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10911,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,10925,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,11217,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,11886,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12588,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,13365,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,13467,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,14543,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,14970,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,15000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,15579,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,15681,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,16909,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,17892,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,18354,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,21146,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,22178,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,22909,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,23553,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,23600,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,23620,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,25699,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,26024,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,26518,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,26771,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
